g25e7r3qhr3q9wlsyg25e7zg2mkn3nvj,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Sometimes,3.7,,,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,,,,,Premixed free flame,,,,,,,1D solver - performance,,Reactor networks - robustness,,1D solver - robustness,,1,None,I’m not aware of the Steering Committee,,,,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this sometimes,I use this sometimes,I use this sometimes,Asia,English,Student,,Zhejiang University,To do my Doctoral work,None,3/11/20 13:48,3/11/20 14:00,bf59bab928
84h4yz86is650mt6rvx84h4yzttmijlq,,,,Windows 10,,"Red Hat or its derivatives (Fedora, CentOS, etc.)",,Python,,,,,,,Anaconda,,,,,,2.3 (released Jan. 2017),Often,3.6,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,Sensitivity Analysis,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,,,,,,Equilibrium solvers - robustness,,1D solver - robustness,,"New thermodynamics, kinetics, or transport models",,1,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this sometimes,I use this often,I use this often,North America,English,,Full-time/Part-time employed by a government agency,NIST,Calculating combustion properties for model optimization,,3/11/20 13:15,3/11/20 13:21,d93d5f90ef
2o5qovwbt5qim2o5q5vz5zw62r98w1ll,,,,Windows 10,,,,Python,,,,,,Somebody else manages it for me,,,,,,,2.3 (released Jan. 2017),Sometimes,3.6,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,I'm not sure,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,Sensitivity Analysis,,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,Surface chemistry,,,"New thermodynamics, kinetics, or transport models",,Reactor networks - performance,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Website examples (https://cantera.org/examples/index.html),I use this sometimes,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,Europe,English and Yoruba,Student,,,,,3/11/20 11:55,3/11/20 12:00,ff350b3188
nfbwnch6vljvj0nfbwncnddyc6gqzd2j,macOS,,,Windows 10,,,,Python,MATLAB,,,,,,,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.6,Sometimes,2019a or newer,,,,,,,,,,,Clang / Clang++,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,,Constant pressure reactors,,,,,,,,,,,,Premixed free flame,,,Counterflow premixed flame,,,,Feature and model documentation,,MATLAB interface,,Examples and tutorials,,1,extinction strain rate calculation,,,Adding/removing steering committee members,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this often,I use this sometimes,I use this often,I use this often,North America,english,Full-time/Part-time employed by a university or lab,,MiT,research,n/a,3/11/20 11:18,3/11/20 11:30,6d75f27d02
e5kbebhihrx5voigae5kbebfgjes0045,,,,Windows 10,,,,Python,,,,,,,,,"Windows binaries (.msi file), downloaded from GitHub",,,,2.4 (released Aug. 2018),Often,3.6,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,I'm not sure,,,,,,,,,,,,,,,,,,,,Constant pressure reactors,Mass flow controllers,Valves,,,,,Networks with multiple reactors,,Solve time-dependent problems,Solve steady-state problems,,,,,,,,None of the above,Reactor networks - performance,,Reactor networks - robustness,,Feature and model documentation,,1,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this often,I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,Europe,English,Full-time/Part-time employed by a company,,,"Convenient alternative to chemkin
Plethora of relevant examples","Thanks for supporting Cantera, I feel it has the base to become exceptionnal...",3/11/20 9:37,3/11/20 9:46,f57dbf1fed
4u4hawhlns8jap1qu4u4haz2hio148qh,,,,Windows 10,,,,Python,,,,,,,Anaconda,,,,,,2.4 (released Aug. 2018),Often,3.8,,,,,,,,,,,,,,,,,,,,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,Networks with multiple reactors,Sensitivity Analysis,,Solve steady-state problems,,Premixed free flame,,,,,,,"New thermodynamics, kinetics, or transport models",,Feature and model documentation,,Examples and tutorials,,1,None,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this sometimes,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice","I have heard of this, but I don't really use it or have only used it once or twice",North America,English,Student,,Oregon State University,Most powerful,None,3/11/20 7:09,3/11/20 7:40,c1d7fb5789
3iapusv1o63hmfrbwgfy3iapuszjhv65,macOS,,,,,,,Python,,,,,,,Anaconda,,,"macOS installer (.pkg file), downloaded from GitHub",,,2.4 (released Aug. 2018),Often,3.7,,,,,,,,,,,,,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,No,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,,,,,Solve time-dependent problems,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,,,,1D solver - performance,,1D solver - robustness,,"New reactor or flow types (for example, transient 1-D or plug flow)",,1,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this often,I use this often,I use this often,I use this sometimes,I use this often,North America,English,Full-time/Part-time employed by a company,,,"Flame property evaluation, general utility tool",,3/11/20 3:55,3/11/20 4:01,5ba20fbdfd
xii3pi4zvn0nj56a9xii3pienlt7af67,,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)",,Archlinux,Python,,C++,C,,,,,Build from source (via GitHub),,,Ubuntu Personal Package Archive (PPA),,2.3 (released Jan. 2017),Often,3.6,,,Often,C++11/C++0x,None,Sometimes,In-house experimental code,Visual StudioGnu C/C++ Compilers (gcc/g++),,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solve steady-state problems,,Premixed free flame,,,,,,,1D solver - performance,,Examples and tutorials,,"New thermodynamics, kinetics, or transport models",,1,,,Modifications of the governance procedures,Adding/removing steering committee members,Spending project funds,,,"No, but I am aware of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,I use this often,I use this sometimes,"I have heard of this, but I don't really use it or have only used it once or twice",I use this sometimes,I use this often,North America,English,Student,,Georgia Institute of Technoloy,Academic research,,3/11/20 2:35,3/11/20 2:43,6f71e905bb
xs0tme51c3w6w90yff829xs0tmwyl8bg,,,,,"Debian or its derivatives (Ubuntu, Mint, etc.)",,,Python,MATLAB,,,,,,,,,,Ubuntu Personal Package Archive (PPA),,2.4 (released Aug. 2018),Often,2.7,Sometimes,A version between 2015a and 2018b,,,,,,,,,,,,,,,"I  use Cantera for property calculations with built-in phase models (for example, enthalpy as a function of temperature, reaction rates for a given state, equilibrium calculations)","I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",I modify existing Cantera reactor and/or reactor network classes to incorporate new phenomena and/or boundary conditions.,"I write my own simulation codes, and call Cantera functions to evaluate properties and/or source terms (for example, species production rates or energy equation terms) within my in-house codes.",Yes,Fixed-stoichiometry,,,,,,,Ideal-gas-VPSS,,,,Redlich-Kwong,,Constant-density (formerly ‘Incompressible_solid’),,,,,Constant volume reactors,Constant pressure reactors,Mass flow controllers,,,Wall heat transfer,Moving walls/Changing reactor volume,,,Sensitivity Analysis,,Solve steady-state problems,,Premixed free flame,Burner-stabilized flame,Counterflow diffusion flame,Counterflow premixed flame,Surface chemistry,Multiple flow domains,,1D solver - performance,,"New thermodynamics, kinetics, or transport models",,Reactor networks - performance,,1,,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Online documentation (https://cantera.org/documentation),I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,"I have heard of this, but I don't really use it or have only used it once or twice",I use this often,I use this often,Asia,English,Full-time/Part-time employed by a university or lab,,,Open-source and great support,,3/11/20 2:31,3/11/20 2:40,a92a3176a8
7and3n85zkqsgrv0p7and35zdt3g2eer,,,,,,,Easy compilation on any linux,Python,MATLAB,,,,,,,Build from source (via GitHub),,,,,2.4 (released Aug. 2018),Often,3.8,Sometimes,2019a or newer,,,,,,,,,Gnu Fortran (gfortran),,,,,,,"I  use existing Cantera reactor and reactor networks for particular applications--flame speeds, ignition delays, temperature and species profiles, etc.",,,I'm not sure,,,,,,,,,,,,,,,,,,,Constant volume reactors,Constant pressure reactors,,,,,Moving walls/Changing reactor volume,Surface chemistry,,Sensitivity Analysis,,,,Premixed free flame,,,,,,,"New thermodynamics, kinetics, or transport models",,Python interface,,Equilibrium solvers - performance,,1,For getting a new user on board a simple GUI would be great,I’m not aware of the Steering Committee,,,,,,"No, and I have not heard of NumFOCUS",Search previous user group posts,I use this often,I use this sometimes,I use this often,I use this often,I use this often,I use this often,Asia,English,Full-time/Part-time employed by a company,,Shell,Combustion,,3/11/20 2:18,3/11/20 2:26,fe3a9a511f
